time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ Read_calibratedZeroAngle,
1414434501740,,,17.37,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-31.91,0.77,6.09,False,4,0,0,750.00,System,0.04,0.11,180.00,
1414434501899,,,-17.68,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-32.23,0.79,0.86,False,6,0,0,750.00,System,0.09,0.23,180.00,
1414434502075,,,32.86,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-32.67,0.95,4.21,False,5,0,0,750.00,System,0.00,0.00,180.00,
1414434502215,,,17.17,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-32.66,0.85,8.10,False,6,0,0,750.00,System,0.03,0.12,180.00,
1414434502387,,,-44.05,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-33.33,0.74,4.51,False,6,0,0,750.00,System,0.89,1.78,180.00,
1414434502522,,,-22.72,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-34.38,0.76,3.03,False,5,0,0,750.00,System,0.52,2.36,180.00,
1414434502682,,,-39.45,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-34.83,0.72,2.66,False,6,0,0,750.00,System,0.08,0.17,180.00,
1414434502834,,,-16.93,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-34.71,0.47,1.45,False,5,0,0,750.00,System,0.37,1.65,180.00,
1414434503024,,,-32.64,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-34.18,0.26,-0.78,False,6,0,0,750.00,System,0.39,1.75,180.00,
1414434503166,,,-25.11,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-33.72,0.33,-2.95,False,7,0,0,750.00,System,0.33,1.82,180.00,
1414434503340,,,-4.73,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-32.97,0.61,-4.10,False,5,0,0,750.00,System,0.01,0.03,180.00,
1414434503476,,,33.38,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-32.13,0.56,1.42,False,6,0,0,750.00,System,0.05,0.02,180.00,
1414434503636,,,-1.45,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-31.67,0.72,2.60,False,5,0,0,750.00,System,0.05,0.02,180.00,
1414434503812,,,-15.74,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-31.67,0.69,2.07,False,6,0,0,750.00,System,0.26,0.64,180.00,
1414434503955,,,-32.13,868.00,395.00,34.00,1970.00,16.00,551.00,5668.00,0.00,50.00,-31.55,0.72,1.32,False,5,0,0,750.00,System,0.18,0.35,180.00,
