time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,
1414696040177,-1.00,0.00,-10.72,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.56,1.15,3.93,False,5,0,0,750.00,System,0.14,0.08,0.5,180.00,
1414696040438,-1.00,0.00,-12.23,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.55,1.11,4.58,False,5,0,0,750.00,System,0.14,0.08,0.5,180.00,
1414696040552,1.00,0.00,-29.41,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.54,1.11,6.38,False,5,0,0,750.00,System,0.18,0.08,0.5,180.00,
1414696040667,-1.00,0.00,-46.22,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.61,1.08,8.59,False,5,0,0,750.00,System,0.31,0.13,0.5,180.00,
1414696040778,-1.00,0.00,-63.77,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.61,1.06,10.16,False,6,0,0,750.00,System,0.59,0.23,0.5,180.00,
1414696040897,-1.00,0.00,-100.00,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.59,1.00,10.78,False,5,0,0,750.00,System,0.66,0.29,0.5,180.00,
1414696041014,-1.00,0.00,-100.00,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.66,0.94,10.31,False,5,0,0,750.00,System,0.74,0.34,0.5,180.00,
1414696041153,-1.00,0.00,-100.00,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.56,0.91,9.06,False,5,0,0,750.00,System,0.69,0.34,0.5,180.00,
1414696041310,-1.00,0.00,-41.87,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.55,0.94,7.56,False,6,0,0,750.00,System,0.66,0.34,0.5,180.00,
1414696041520,1.00,0.00,-52.08,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.54,0.92,4.88,False,120,0,0,750.00,System,15.15,4.81,0.5,180.00,
